pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
29.977,-19.304,0.0,top,BT1,,,PinHeader_1x02_P2.54mm_Vertical,Bat,tht
27.686,10.16,90.0,top,D1,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N4001,tht
-30.48,-5.08,90.0,top,J1,,,PinHeader_1x04_P2.54mm_Vertical,Conn_I2C,tht
-10.16,-25.415,0.0,top,J10,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-25.4,-22.606,-90.0,top,J11,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-25.4,-20.066,-90.0,top,J12,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-25.4,-17.526,-90.0,top,J13,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-25.4,-14.986,-90.0,top,J14,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-30.099,2.413,180.0,top,J17,,,PinHeader_1x10_P2.54mm_Vertical,Conn_01x10,tht
19.812,-3.81,-90.0,top,J18,,,PinSocket_1x15_P2.54mm_Vertical,Conn_01x15,tht
19.812,-19.05,-90.0,top,J19,,,PinSocket_1x15_P2.54mm_Vertical,Conn_01x15,tht
-30.48,-7.62,90.0,top,J2,,,PinHeader_1x04_P2.54mm_Vertical,Conn_I2C,tht
10.16,-25.415,0.0,top,J3,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
12.7,-25.415,0.0,top,J4,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
15.24,-25.415,0.0,top,J5,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
17.78,-25.415,0.0,top,J6,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-17.78,-25.415,0.0,top,J7,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-15.24,-25.415,0.0,top,J8,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-12.7,-25.415,0.0,top,J9,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
5.08,29.845,-90.0,top,LED-A_1,,,PinSocket_1x05_P2.54mm_Vertical,Conn_01x05,tht
-10.795,29.845,-90.0,top,LED-A_2,,,PinSocket_1x05_P2.54mm_Vertical,Conn_01x05,tht
20.955,29.845,-90.0,top,LED-A_3,,,PinSocket_1x05_P2.54mm_Vertical,Conn_01x05,tht
5.08,0.635,-90.0,top,LED-B_1,,,PinSocket_1x05_P2.54mm_Vertical,Conn_01x05,tht
-10.795,0.635,-90.0,top,LED-B_2,,,PinSocket_1x05_P2.54mm_Vertical,Conn_01x05,tht
20.955,0.635,-90.0,top,LED-B_3,,,PinSocket_1x05_P2.54mm_Vertical,Conn_01x05,tht
-30.48,-2.54,0.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht
-30.48,-10.16,0.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht
26.194,-13.208,90.0,top,SW1,,,SW_CuK_OS102011MA1QN1_SPDT_Angled,ON,tht
