Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Family,DK_Detail_Page,Manufacturer,Sim.Device,Sim.Pins
BZ1,1,Buzzer_WT-1205,Buzzer_12x9.5RM7.6,,PS1240P02BT,,tht,AUDIO PIEZO TRANSDUCER 30V TH,"Alarms, Buzzers, and Sirens",/product-detail/en/tdk-corporation/PS1240P02BT/445-2525-1-ND/935930,TDK Corporation,,
C1,1,100n,C_Disc_D3.0mm_W2.0mm_P2.50mm,,,,tht,"Unpolarized capacitor, small symbol",,,,,
D2,1,1N5819,D_DO-41_SOD81_P10.16mm_Horizontal,,,,tht,"Schottky diode, filled shape",,,,D,1=K 2=A
J15,1,HC-SR04,PinSocket_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,
J16,1,Conn_01x10,PinHeader_1x10_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,
Q1,1,PN2222ABU,TO-92L_Inline,,KSP2222ABU,,tht,TRANS NPN 40V 0.6A TO-92,Transistors - Bipolar (BJT) - Single,/product-detail/en/on-semiconductor/KSP2222ABU/KSP2222ABUFS-ND/1047387,ON Semiconductor,,
"R3, R4, R6",3,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,
R5,1,LDR,R_LDR_4.9x4.2mm_P2.54mm_Vertical,,,,tht,light dependent resistor,,,,,
R7,1,100E,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,
RV1,1,100k,TRIM_601040,,,,tht,Potentiometer,,,,,
"SW2, SW3",2,ON,SWITCH_PUSH_6mm_12mm,,,,tht,Single Pole Single Throw (SPST) switch,,,,,
